condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,run,note,source_file,lhs_point_id,detector_efficiency,dark_count_rate,alice_delay_ms,bob_delay_ms
loss_0.1pct,0.1,,,0.0904255319148936,3765.0,420.0,0.042,48.219621896743774,8.710147103587351,0.8,,,2.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.1pct,0.1,,,0.0883116883116883,3850.0,479.0,0.0479,49.42924642562866,9.690619109896897,0.8,,,3.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.5pct,0.5,,,0.1044386422976501,3834.0,117.0,0.0117,48.3570408821106,2.4195028865648283,0.8,,,1.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.5pct,0.5,,,0.0930851063829787,3765.0,361.0,0.0361,53.25796890258789,6.778328341065564,0.8,,,2.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.5pct,0.5,,,0.0868421052631579,3801.0,507.0,0.0507,50.20014429092407,10.09957256421,0.8,,,3.0,,joint_fault_lowloss_results.csv,,,,,
loss_1.0pct,1.0,,,0.1031746031746031,3782.0,143.0,0.0143,49.52572202682495,2.887388495266075,0.8,,,1.0,,joint_fault_lowloss_results.csv,,,,,
loss_1.0pct,1.0,,,0.0861618798955613,3835.0,527.0,0.0527,49.086650133132935,10.736116613593904,0.8,,,2.0,,joint_fault_lowloss_results.csv,,,,,
loss_1.0pct,1.0,,,0.0992167101827676,3836.0,231.0,0.0231,50.4965181350708,4.57457283256855,0.8,,,3.0,,joint_fault_lowloss_results.csv,,,,,
baseline,,,,0.0,3797.0,3418.0,0.3418,50.98121237754822,67.04430594328636,1.0,,,1.0,,joint_fault_lowloss_results.csv,,,,,
baseline,,,,0.0,3834.0,3451.0,0.3451,48.95843243598938,70.48836795401904,1.0,,,2.0,,joint_fault_lowloss_results.csv,,,,,
baseline,,,,0.0,3821.0,3439.0,0.3439,56.325809717178345,61.05549156359785,1.0,,,3.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.001pct,0.001,,,0.0,3777.0,3400.0,0.34,48.07841777801514,70.71780139892044,1.0,,,1.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.001pct,0.001,,,0.0,3754.0,3379.0,0.3379,48.352126359939575,69.88317276568729,1.0,,,2.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.001pct,0.001,,,0.0,3797.0,3418.0,0.3418,49.344462633132935,69.26815730900154,1.0,,,3.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.01pct,0.01,,,0.0,3855.0,3470.0,0.347,49.32176780700684,70.35433145011964,1.0,,,1.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.01pct,0.01,,,0.0,3830.0,3447.0,0.3447,48.820640325546265,70.60538282608915,1.0,,,2.0,,joint_fault_lowloss_results.csv,,,,,
loss_0.01pct,0.01,,,0.0,3745.0,3371.0,0.3371,48.90091371536255,68.93531723397999,1.0,,,3.0,,joint_fault_lowloss_results.csv,,,,,
